conversation_id,verdict,mode,failed_criteria,reason
47c442fa4a6e771ad3d689cdeed3cb84,REJECT,1.1,c,Math/probability question with fixed answer; pure 1.1
b62e761bc81e53bcdc6d94f198138575,ACCEPT,1.1/1.2,none,Asks salary as a simple fact; but compensation data changes with market
907096e969453a88cd3295035fb23376,REJECT,1.2,c,Explicitly asks "right now"; clearly 1.2 with temporal marker
ed318696cd29176e7fb3c3dd18b173a7,REJECT,1.1,b;c,Multiple-choice anatomy quiz; pure 1.1 stable fact
4029df0aaf5b03c9253f726a751b541b,REJECT,1.3,b;c,Subjective advisory about personal traits; mode 1.3
7c678a6f9088da5d4792a4b051bb6c72,REJECT,2.1,b;c,Math problem-solving explanation task; mode 2.1 utility
d910385d51b73ea22eddaa712deebfe2,REJECT,1.3,b;c,Personal reflection question directed at AI; mode 1.3 advisory
9e7cbc8872d37fa109bf88146a0a3c88,REJECT,1.1,c,Bible verse identification; stable religious text fact; pure 1.1
b40ad7ff9047db769c5aeecb0076741f,REJECT,2.2,b;c,Speculative fan-fiction about Game of Thrones; mode 2.2
059988980dba458ae509b216daf57847,ACCEPT,1.1/1.2,none,Asks best iPad model as fact; but product lineup changes over time
d12c47860cb5c414c1e4b25e6c9b3629,REJECT,2.1,b;c,Technical debugging question about Python/Django; mode 2.1 utility
3dace39de3882c28a140ad1d1203d87b,REJECT,1.3,b;c,Advisory on automation vs offshoring decision factors; mode 1.3
92c6fe3e2d4df8077425c7c98acd3a84,REJECT,2.1,b;c,Synonym suggestion task; mode 2.1 utility not factual
3af742abeaf5941d5f3f826b41725f22,REJECT,1.1,b;c,Multiple-choice corporate training quiz (duplicate); pure 1.1
2b11e02bd45301f47f878b84063dc3e6,REJECT,1.3,b;c,Astrology-based career advice; mode 1.3 advisory
a05064ceee9aa9e4d24b9f6fd8848c6c,REJECT,1.3,b;c,Subjective cultural question about insults; mode 1.3 advisory
45e9344642580eae1e73a2b9e1344995,REJECT,1.3,b;c,Advisory about exam study strategy (duplicate of row 6); mode 1.3
9837fffdc9e076ceba28bd9920c81115,REJECT,1.1,c,Political science concept; historical examples are relatively stable; pure 1.1
451c55b8bca0cda15b22907deb1cb512,REJECT,1.1,b;c,Multiple-choice quiz on Johari Window; pure 1.1 stable definition
d29554718a669c6f28f15a3a189729d0,REJECT,1.3,b;c,Book recommendation request; mode 1.3 advisory
ad8222e9950ea724c0c25117535ee580,REJECT,2.2,b;c,Creative naming for fantasy characters; mode 2.2
7a73b6fdae28b42a9759851202ced603,REJECT,1.1,c,Leadership theory question; stable academic concept; pure 1.1
